Uploaded at;Replay site;User name;Reported name;Description;Replay URL;
mySharedReplays.header.uploadedAt;mySharedReplays.header.replaySite;mySharedReplays.header.userName;mySharedReplays.header.reportedName;mySharedReplays.header.description;mySharedReplays.header.replayUrl;
2011.10.17 14:55:45;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45190;
2011.10.17 14:55:45;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45174;
2011.10.17 14:55:46;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45191;
2011.10.17 14:55:46;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45175;
2011.10.17 14:55:46;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45176;
2011.10.17 14:55:46;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45192;
2011.10.17 14:55:47;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45193;
2011.10.17 14:55:47;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45194;
2011.10.17 14:55:47;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45177;
2011.10.17 14:55:48;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45195;
2011.10.17 14:55:48;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45178;
2011.10.17 14:56:22;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45179;
2011.10.17 14:56:23;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45180;
2011.10.17 14:56:23;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45181;
2011.10.17 14:56:24;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45182;
2011.10.17 14:56:24;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45183;
2011.10.17 14:56:25;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45184;
2011.10.17 14:56:25;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45185;
2011.10.17 14:56:25;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45186;
2011.10.17 14:56:26;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45187;
2011.10.17 14:56:26;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45188;
2011.10.17 14:56:26;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45173;
2011.10.17 14:56:26;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45189;
2011.10.17 14:56:27;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45190;
2011.10.17 14:56:27;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45174;
2011.10.17 14:56:27;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45191;
2011.10.17 14:56:28;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45175;
2011.10.17 14:56:28;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45176;
2011.10.17 14:56:28;drop.sc;;SC2S_557_[EPS][Qualifier][G1]_LiquidTLO_vs_iNSoLeNCE_Lost_Temple  MD5_fV4SbSdM77Q3t0JM6tSDdT.SC2Replay;;http://drop.sc/45192;
